,Company,Data_Time,Job_Name,Location,Links
0,LONZA,2021-10-09,Student Internship / Praktikant,"Switzerland, Basel",https://www.lonza.com/jobs/R3784
1,LONZA,2021-10-09,(Senior) Scientist Process Development,"Switzerland, Basel",https://www.lonza.com/jobs/R26093
2,LONZA,2021-10-09,Senior Data Engineer,"Switzerland, Basel; Switzerland, Visp",https://www.lonza.com/jobs/R36672
3,LONZA,2021-10-09,Data Governance Manager,"Switzerland, Basel",https://www.lonza.com/jobs/R37116
4,LONZA,2021-10-09,(Senior) Scientist Physico-Chemical Quality Control,"Switzerland, Basel",https://www.lonza.com/jobs/R38061
5,LONZA,2021-10-09,Scientist Bioanalytics,"Switzerland, Basel",https://www.lonza.com/jobs/R26740
6,LONZA,2021-10-09,Internship – Strategy Consultant CIO Office,"Switzerland, Basel",https://www.lonza.com/jobs/R36666
7,LONZA,2021-10-09,Head of Process Development LNP,"Switzerland, Basel",https://www.lonza.com/jobs/R34759
8,LONZA,2021-10-09,"Team Leader, Physico-Chemical Quality Control","Switzerland, Basel",https://www.lonza.com/jobs/R38059
9,LONZA,2021-10-09,Technology Transfer Lead,"Switzerland, Basel",https://www.lonza.com/jobs/R26202
10,LONZA,2021-10-09,"Lead Scientist, Formulation Development, DPS","Switzerland, Basel",https://www.lonza.com/jobs/R37629
11,LONZA,2021-10-09,(Senior) Scientist Stability Physico-Chemical Quality Control,"Switzerland, Basel",https://www.lonza.com/jobs/R38010
12,LONZA,2021-10-09,Scientist Formulation Development,"Switzerland, Basel",https://www.lonza.com/jobs/R38190
13,LONZA,2021-10-09,Director Commercial Development (Mammalian),"Switzerland, Basel; United Kingdom, Slough",https://www.lonza.com/jobs/R32511
14,LONZA,2021-10-09,"Technical Proposals Manager, Drug Product Services","Switzerland, Basel",https://www.lonza.com/jobs/R36047
15,LONZA,2021-10-09,QC Planner/Scheduler (m/f/d),"Switzerland, Basel",https://www.lonza.com/jobs/R35779
16,LONZA,2021-10-09,"Lead Scientist, Process Development","Switzerland, Basel",https://www.lonza.com/jobs/R37572
17,LONZA,2021-10-09,Quality Network Head Drug Product Services,"Switzerland, Basel",https://www.lonza.com/jobs/R35051
18,LONZA,2021-10-09,Technical Sales Manager,"Switzerland, Basel; Switzerland, Visp",https://www.lonza.com/jobs/R33662
19,LONZA,2021-10-09,QC Lab Systems Specialist,"Switzerland, Basel",https://www.lonza.com/jobs/R38217
20,LONZA,2021-10-09,"Lead Scientist, Physico-Chemical Quality Control","Switzerland, Basel",https://www.lonza.com/jobs/R38151
21,LONZA,2021-10-09,Program Manager DPS,"Switzerland, Basel",https://www.lonza.com/jobs/R34828
22,LONZA,2021-10-09,Senior Principal Scientist / Group Head Bioanalytics,"Switzerland, Basel",https://www.lonza.com/jobs/R37062
23,LONZA,2021-10-09,Head of Physico-Chemical Quality Control Drug Product Services,"Switzerland, Basel",https://www.lonza.com/jobs/R37020
24,LONZA,2021-10-09,Senior Program Manager Drug Product Services,"Switzerland, Basel",https://www.lonza.com/jobs/R38602
25,LONZA,2021-10-09,Capital Projects Specialist,"Switzerland, Basel; United States, Portsmouth (New Hampshire)",https://www.lonza.com/jobs/R36230
26,LONZA,2021-10-09,Integration Engineer,"Switzerland, Basel; Switzerland, Visp",https://www.lonza.com/jobs/R30258
27,LONZA,2021-10-09,Integration Architect,"Switzerland, Basel; Switzerland, Visp",https://www.lonza.com/jobs/R30257
28,LONZA,2021-10-09,"Associate Director, Digital Portfolio Testing & Release","Singapore, Singapore; Singapore, Tuas Singapore; Spain, Porrino; Switzerland, Basel; Switzerland, Visp; United Kingdom, Slough; United States, Portsmouth (New Hampshire)",https://www.lonza.com/jobs/R24283
29,LONZA,2021-10-09,Principal Scientist / Group Lead Formulation Development,"Switzerland, Basel",https://www.lonza.com/jobs/R37633
30,LONZA,2021-10-09,"Associate Principal Scientist, DP Process Development","Switzerland, Basel",https://www.lonza.com/jobs/R38070
31,LONZA,2021-10-09,Digital HR Reporting & Insights Specialist,"Switzerland, Basel; United Kingdom, Manchester",https://www.lonza.com/jobs/R37914
32,LONZA,2021-10-09,Sales & Operations – CoE Specialist (m/f/d),"Switzerland, Basel",https://www.lonza.com/jobs/R34541
33,LONZA,2021-10-09,IT Strategy Development & Team Lead,"Switzerland, Basel",https://www.lonza.com/jobs/R34735
34,LONZA,2021-10-09,•	Internal Auditor/ Audit Manager (with finance/accounting expertise),"Switzerland, Basel",https://www.lonza.com/jobs/R34176
35,LONZA,2021-10-09,Strategic Growth Project Lead,"Switzerland, Basel",https://www.lonza.com/jobs/R37089
36,LONZA,2021-10-09,Strategic Growth Project Lead (f/m/d),"Switzerland, Basel; Switzerland, Stein",https://www.lonza.com/jobs/R38647
37,LONZA,2021-10-09,Scientist Forensic Chemistry,"Switzerland, Basel",https://www.lonza.com/jobs/R37169
38,LONZA,2021-10-09,Transport Excellence Director (m/f/w),"Switzerland, Basel",https://www.lonza.com/jobs/R38306
39,LONZA,2021-10-09,Business Analyst Digital,"Switzerland, Basel; Switzerland, Visp",https://www.lonza.com/jobs/R36196
40,LONZA,2021-10-09,Quality Assurance Expert QC Analytics,"Switzerland, Basel",https://www.lonza.com/jobs/R36927
41,LONZA,2021-10-09,Intern – Global Warehouse Strategy (100%),"Switzerland, Basel",https://www.lonza.com/jobs/R37775
42,LONZA,2021-10-09,Principal / Associate Principal Scientist - Analytical Project Leader,"Switzerland, Basel",https://www.lonza.com/jobs/R26700
43,LONZA,2021-10-09,Demand Planning – CoE Specialist (m/f/d),"Switzerland, Basel",https://www.lonza.com/jobs/R34542
44,LONZA,2021-10-09,Trade Compliance Manager,"Switzerland, Basel",https://www.lonza.com/jobs/R37103
45,LONZA,2021-10-09,IT Auditor / IT Audit Manager,"Switzerland, Basel",https://www.lonza.com/jobs/R34076
46,LONZA,2021-10-09,"Regional Employer Brand Lead, EMEA","Switzerland, Basel; United Kingdom, Manchester",https://www.lonza.com/jobs/R36569
47,LONZA,2021-10-09,Head Supply Chain Drug Product Services,"Switzerland, Basel",https://www.lonza.com/jobs/R38621
